numero,nombre_completo,posicion,edad,nacionalidad,valor_eur_transfermarkt
1,Gastón Olveira,ARQ,33,Uruguay,
2,Bryan Bentaberry,DEF,29,Uruguay,
3,Alejandro Silva,MED,36,Uruguay,
4,Tim Payne,DEF,32,Nueva Zelanda,
5,Juan Fernando Alfaro,MED,26,Argentina,
6,Richard Ortiz,MED,36,Paraguay,
7,Fernando Cardozo,DEL,25,Paraguay,
8,Alex Franco,MED,25,Paraguay,
9,Hugo Sandoval,DEL,26,Paraguay,
10,Derlis González,DEL,32,Paraguay,
11,Sebastián Ferreira,DEL,28,Paraguay,
12,Facundo Insfrán,ARQ,20,Paraguay,
13,Lucas Verza,ARQ,25,Paraguay,
14,Gustavo Vargas,DEF,24,Paraguay,
15,Mateo Gamarra,DEF,25,Paraguay,
16,Aníbal Chalá,DEF,30,Ecuador,
17,Adrián Alcaraz,DEL,26,Paraguay,
18,Faustino Barone,DEL,20,Uruguay,
19,Rubén Lezcano,MED,22,Paraguay,
20,Eduardo Delmas,DEL,19,Paraguay,
21,César Olmedo,DEF,23,Paraguay,
22,Juan Vera,DEF,27,Paraguay,
23,Rodrigo Pérez,MED,30,Uruguay,
24,Tiago Caballero,DEL,21,Paraguay,
25,Sebastián Lentinelly,ARQ,28,Uruguay,
26,Richard Sánchez,MED,30,Paraguay,
27,Raúl Cáceres,DEF,34,Paraguay,
28,Hugo Quintana,MED,24,Paraguay,
29,Iván Leguizamón,DEL,24,Paraguay,
30,Alan Rodríguez,DEF,25,Paraguay,
35,Franco Alfonso,DEL,24,Argentina,
37,Romeo Benítez,DEL,23,Paraguay,
39,Luis Abreu,MED,22,Paraguay,
